features,PC1_importance,PC2_importance,PC3_importance,PC4_importance
HOMO_Boltz,0.09461893933617276,0.20889722727254628,-0.051214501950159155,0.003363868436518932
LUMO_Boltz,0.010255411090965845,-0.028728952579621304,-0.05274116989962389,0.024944475075663348
NBO_LP_energy_N1_Boltz,0.1675563896024809,0.0028222106194868376,0.030571375366306986,0.20743929038533454
NBO_LP_energy_N1_max,0.1675116985298712,0.057467707027158615,0.10797625282733891,0.15777798130549694
NBO_LP_occupancy_N1_Boltz,0.17253599587278243,-0.04351928737899669,0.08819503386428139,0.2091442946407155
NBO_charge_C1_Boltz,-0.07848627577205693,0.21631852871316873,0.005993633383818586,0.18880058089649493
NBO_charge_C1_Vbur_min,-0.11030034154570252,0.22785736247288144,0.03726479755050942,0.0784969328427809
NBO_charge_N1_Boltz,0.051542985554993086,-0.21321323047268734,-0.06641657163773074,-0.018724986386060925
NBO_charge_N1_max,0.07603056650327526,-0.16955900763514986,0.01666978603174364,-0.024315567790577024
NMR_shift_C1_Boltz,0.21744467732556885,-4.822614344494407e-05,-0.06522241958317236,-0.09771728474245446
NMR_shift_N1_Boltz,-0.05479397783152095,0.25426619057417466,0.0012999728490498404,0.011834135610326911
SASA_sphericity_Boltz,-0.05492823623867529,-0.13606542511237413,-0.2343465941829907,0.15511543802521224
Sterimol_B1_N1_C1(Å)_dbstep_Boltz,-0.09313558295825873,0.21348418683935483,0.12245060619671852,0.004884779325923457
Sterimol_B1_N1_C1(Å)_dbstep_max,-0.08536668472099686,0.20016610034296042,0.13579839189900347,-0.07260447797824535
Sterimol_B5_N1_C1(Å)_dbstep_Boltz,0.13985510583683566,0.05388957019377583,0.23825858779956074,-0.013467255888966401
Sterimol_B5_N1_C1(Å)_dbstep_Vbur_min,0.08692296752496556,0.08393666151192217,0.25540883230332895,-0.04352253704327981
Sterimol_Bmax_N1_C1_0.0Å(Å)_Boltz,0.17595134815734045,-0.08205321621150483,0.125568420843545,-0.12031808172832993
Sterimol_Bmax_N1_C1_0.0Å(Å)_Vbur_min,0.09556569872930078,-0.0207565611393028,0.17532689623003936,-0.17929552009478406
Sterimol_Bmin_N1_C1_0.0Å(Å)_Boltz,-0.13042046648815514,-0.07049729547250692,0.15906941269683492,0.2225111597634972
Sterimol_Bmin_N1_C1_0.0Å(Å)_Vbur_min,-0.13605499576640046,0.03358739925781198,0.13999144458127696,-0.1308034504830988
Sterimol_Bmin_N1_C1_0.0Å(Å)_low_E,-0.1530305998330311,-0.04267873315329623,0.1579982752403353,0.20666233734140935
Sterimol_Bmin_N1_C1_1.0Å(Å)_Boltz,-0.10434823619615467,0.03662907816284189,0.2402124260398341,0.12875841290266926
Sterimol_Bmin_N1_C1_1.0Å(Å)_Vbur_min,-0.20780942071171923,-0.05360487884466512,0.11411703134727916,-0.033731595452898055
Sterimol_Bmin_N1_C1_1.0Å(Å)_low_E,-0.2056199697549599,-0.11231634084663757,0.09413622302493846,0.11173604270951265
Sterimol_Bmin_N1_C1_1.0Å(Å)_max,-0.03349661808309551,0.12064628259678543,0.24985101228408005,0.033854254274135374
Sterimol_Bmin_N1_C1_1.0Å(Å)_min,-0.1742574240237416,-0.11465155992373235,0.058958269886562546,0.18991926793367858
Sterimol_L_N1_C1(Å)_dbstep_Boltz,0.1604646166784832,0.16434267437246491,0.050645501595973266,0.09576529735909681
Sterimol_L_N1_C1(Å)_dbstep_Vbur_min,0.20610109782682481,0.09036159101935189,0.017238663253803996,0.06797778911655601
Sterimol_L_N1_C1(Å)_dbstep_max,0.1198089144538253,0.15474881861705742,0.11539403472006933,-0.09341704114489811
dipole(Debye)_Boltz,0.018717053728530636,0.13908853164669577,-0.18974182660921926,-0.0995824319007033
dipole(Debye)_Vbur_min,0.027327454873997094,0.13974272462005882,-0.1836802626571717,-0.16434615375738584
dipole(Debye)_max,0.045500668631031894,0.22085324547004775,-0.054656261950252624,-0.17878600190977503
distance_N1_C1(Å)_Boltz,0.15316301760549242,-0.001954747264140235,0.11064549499762802,0.2459269057370126
distance_N1_C1(Å)_Vbur_min,0.0923649599406325,0.04136438015449726,0.14411894854619856,0.047292320638737735
distance_N1_C1(Å)_low_E,0.12230397840446892,0.006064283044518801,0.08957542772150845,0.16729876514807307
distance_N1_C1(Å)_min,0.1366003603324152,-0.02781223823212476,0.0657512856586791,0.27342909641545526
polar_aniso(Debye)_Boltz,0.0728094092665361,0.16539951737668446,0.20947538019290804,-0.05113752254478285
pyramidalization_Agranat-Radhakrishnan_C1_Boltz,0.04042709438727977,0.09266308004384706,-0.07036866985884752,0.10142767510714004
pyramidalization_Agranat-Radhakrishnan_C1_Vbur_min,-0.02031965927362778,0.11712897155106954,-0.016998994088831945,-0.036813805672736045
pyramidalization_Agranat-Radhakrishnan_C1_max,0.038874349056300044,0.18509924576957826,0.10442403846849325,0.0026848199070214525
pyramidalization_Agranat-Radhakrishnan_C1_min,0.045271211420353855,0.19465488332534037,-0.11491591009905515,0.11597346903129692
pyramidalization_Agranat-Radhakrishnan_N1_Boltz,0.14640518222494875,-0.11982895822683434,0.07623632951786012,0.18298356118969045
pyramidalization_Gavrish_N1(°)_Boltz,0.04946032480203009,-0.03887403599245881,-0.007391431180110099,0.15583989002200035
η_Boltz,-0.06662841282402955,-0.1799122408862455,0.005922383721333729,0.013331070457374666
μ_Boltz,0.07924507489741596,0.14234268911068357,-0.07285169341768616,0.018421791451375517
